trial,Success,CumSuccess,Total Reward,CumTotal Reward,Violations,Accidents,Trip Duration
1,0.0,0.0,-0.5,-0.5,7.0,5.0,1.0
2,1.0,1.0,14.0,13.5,2.0,1.0,0.4
3,1.0,2.0,16.0,29.5,2.0,3.0,0.355555555556
4,1.0,3.0,27.5,57.0,1.0,0.0,0.533333333333
5,1.0,4.0,22.0,79.0,0.0,2.0,0.571428571429
6,1.0,5.0,22.0,101.0,0.0,0.0,0.466666666667
7,1.0,6.0,43.0,144.0,4.0,1.0,0.975
8,1.0,7.0,27.5,171.5,1.0,0.0,0.425
9,1.0,8.0,24.0,195.5,0.0,0.0,0.24
10,1.0,9.0,31.5,227.0,1.0,0.0,0.4
11,1.0,10.0,26.0,253.0,0.0,0.0,0.4
12,1.0,11.0,23.5,276.5,1.0,0.0,0.4
13,1.0,12.0,18.0,294.5,0.0,0.0,0.15
14,1.0,13.0,21.5,316.0,1.0,0.0,0.314285714286
15,1.0,14.0,31.0,347.0,2.0,0.0,0.514285714286
16,1.0,15.0,25.5,372.5,1.0,0.0,0.52
17,1.0,16.0,22.0,394.5,0.0,0.0,0.333333333333
18,1.0,17.0,27.5,422.0,1.0,0.0,0.6
19,1.0,18.0,20.0,442.0,0.0,0.0,0.48
20,1.0,19.0,26.0,468.0,0.0,0.0,0.425
21,1.0,20.0,35.0,503.0,2.0,0.0,0.333333333333
22,1.0,21.0,21.5,524.5,1.0,2.0,0.425
23,1.0,22.0,20.0,544.5,0.0,0.0,0.4
24,1.0,23.0,25.5,570.0,1.0,2.0,0.6
25,1.0,24.0,24.0,594.0,0.0,0.0,0.371428571429
26,1.0,25.0,24.0,618.0,0.0,0.0,0.2
27,1.0,26.0,15.5,633.5,1.0,0.0,0.5
28,1.0,27.0,24.0,657.5,0.0,0.0,0.371428571429
29,1.0,28.0,23.0,680.5,2.0,0.0,0.228571428571
30,0.0,28.0,17.5,698.0,3.0,1.0,1.0
31,0.0,28.0,30.5,728.5,5.0,1.0,1.0
32,1.0,29.0,18.0,746.5,0.0,0.0,0.15
33,1.0,30.0,20.0,766.5,0.0,0.0,0.16
34,1.0,31.0,28.0,794.5,0.0,0.0,0.333333333333
35,1.0,32.0,24.0,818.5,0.0,0.0,0.342857142857
36,1.0,33.0,26.0,844.5,0.0,0.0,0.225
37,1.0,34.0,20.0,864.5,0.0,0.0,0.48
38,1.0,35.0,21.0,885.5,0.0,1.0,0.433333333333
39,1.0,36.0,15.5,901.0,1.0,0.0,0.166666666667
40,1.0,37.0,18.5,919.5,1.0,1.0,0.4
41,1.0,38.0,26.0,945.5,0.0,0.0,0.475
42,1.0,39.0,20.0,965.5,0.0,0.0,0.4
43,1.0,40.0,20.0,985.5,0.0,0.0,0.24
44,1.0,41.0,34.5,1020.0,3.0,0.0,0.8
45,1.0,42.0,36.5,1056.5,3.0,0.0,1.0
46,1.0,43.0,18.0,1074.5,0.0,0.0,0.25
47,1.0,44.0,24.0,1098.5,0.0,0.0,0.4
48,1.0,45.0,24.0,1122.5,0.0,0.0,0.514285714286
49,1.0,46.0,23.5,1146.0,1.0,0.0,0.375
50,1.0,47.0,23.5,1169.5,1.0,0.0,0.35
51,1.0,48.0,20.0,1189.5,0.0,0.0,0.28
52,1.0,49.0,22.0,1211.5,0.0,0.0,0.533333333333
53,1.0,50.0,28.0,1239.5,0.0,0.0,0.314285714286
54,1.0,51.0,25.0,1264.5,2.0,0.0,0.45
55,1.0,52.0,26.0,1290.5,0.0,0.0,0.4
56,1.0,53.0,18.0,1308.5,0.0,0.0,0.15
57,1.0,54.0,22.0,1330.5,0.0,0.0,0.166666666667
58,1.0,55.0,22.0,1352.5,0.0,0.0,0.266666666667
59,1.0,56.0,22.0,1374.5,0.0,0.0,0.5
60,1.0,57.0,15.5,1390.0,1.0,0.0,0.133333333333
61,1.0,58.0,24.0,1414.0,0.0,0.0,0.2
62,1.0,59.0,24.0,1438.0,0.0,0.0,0.314285714286
63,1.0,60.0,25.0,1463.0,2.0,0.0,0.6
64,1.0,61.0,25.5,1488.5,1.0,0.0,0.56
65,1.0,62.0,23.5,1512.0,1.0,0.0,0.35
66,1.0,63.0,26.0,1538.0,0.0,0.0,0.275
67,1.0,64.0,20.0,1558.0,0.0,0.0,0.28
68,1.0,65.0,26.5,1584.5,1.0,1.0,0.733333333333
69,1.0,66.0,19.5,1604.0,1.0,0.0,0.333333333333
70,1.0,67.0,18.0,1622.0,0.0,0.0,0.15
71,1.0,68.0,26.0,1648.0,0.0,0.0,0.4
72,1.0,69.0,20.0,1668.0,0.0,0.0,0.4
73,1.0,70.0,18.0,1686.0,0.0,0.0,0.35
74,1.0,71.0,22.0,1708.0,0.0,0.0,0.25
75,1.0,72.0,19.5,1727.5,1.0,0.0,0.175
76,1.0,73.0,18.0,1745.5,0.0,0.0,0.3
77,1.0,74.0,23.5,1769.0,1.0,0.0,0.375
78,1.0,75.0,18.0,1787.0,0.0,0.0,0.45
79,1.0,76.0,23.5,1810.5,1.0,0.0,0.35
80,1.0,77.0,22.0,1832.5,0.0,0.0,0.333333333333
81,1.0,78.0,24.0,1856.5,0.0,0.0,0.32
82,1.0,79.0,20.0,1876.5,0.0,0.0,0.4
83,1.0,80.0,23.5,1900.0,1.0,0.0,0.35
84,1.0,81.0,26.0,1926.0,0.0,0.0,0.3
85,1.0,82.0,23.5,1949.5,1.0,0.0,0.6
86,1.0,83.0,18.0,1967.5,0.0,0.0,0.15
87,1.0,84.0,25.5,1993.0,1.0,0.0,0.257142857143
88,1.0,85.0,28.0,2021.0,0.0,0.0,0.444444444444
89,1.0,86.0,22.0,2043.0,0.0,0.0,0.333333333333
90,1.0,87.0,27.5,2070.5,1.0,0.0,0.333333333333
91,1.0,88.0,24.0,2094.5,0.0,0.0,0.428571428571
92,1.0,89.0,21.5,2116.0,1.0,0.0,0.48
93,1.0,90.0,22.0,2138.0,0.0,0.0,0.366666666667
94,1.0,91.0,22.0,2160.0,0.0,0.0,0.3
95,1.0,92.0,22.0,2182.0,0.0,0.0,0.2
96,1.0,93.0,34.0,2216.0,0.0,0.0,0.38
97,1.0,94.0,22.5,2238.5,1.0,1.0,0.55
98,1.0,95.0,23.5,2262.0,1.0,0.0,0.35
99,1.0,96.0,33.0,2295.0,2.0,0.0,0.633333333333
100,1.0,96.0,26.0,2309.0,0.0,0.0,0.375
